id,代数,次数,三维1,三维2,三维3,重量,价格
122727,28,1,1.5,1.6,1.5,0,1.55
36253,24,1,1.6,1.7,1.5,0,1.56
175316,16,0,1.4,1.6,1.3,0,1.56
145375,28,1,1.9,1.5,1.2,0,1.56
177817,32,0,1.4,1.6,1,0,1.57
111137,16,1,1.3,1.1,1.9,0,1.58
104785,28,1,1,1.5,1,0,1.58
95903,18,0,1.2,1,1.7,0,1.58
101572,19,0,1.9,1,1.4,0,1.58
91096,28,1,1.5,1.4,1.3,0,1.58
124152,28,1,1,1,1.4,0,1.58
177432,17,0,1,1.5,1.1,0,1.59
46389,16,2,1.7,1.2,1,0,1.59
124991,32,1,1.1,1.3,1.6,0,1.59
129635,17,0,1.2,1,1.2,0,1.59
73332,15,1,1.97,1.3,1.3,0,1.59
25815,27,2,1.4,1.2,1.3,0,1.59
126734,16,1,1.1,1.4,1.4,0,1.6
122387,16,1,1,1.2,1.2,0,1.6
128276,20,1,1.3,1.1,1.8,0,1.6
125461,16,1,1.2,1.5,1.6,0,1.6
107805,16,1,1.3,1.6,1,0,1.6
122655,26,1,1,1.5,1.1,0,1.6
126753,16,1,1.1,1.2,1.4,0,1.6
114469,24,1,1.2,1.4,1.3,0,1.6
100394,18,0,1.6,1.2,1.9,0,1.6
96567,18,1,1.9,1.5,1.2,0,1.6
122463,32,1,1.1,1.7,1.6,0,1.6
118628,18,0,1.7,1.5,1.4,0,1.6
116597,20,1,1,1.1,1.9,0,1.6
98689,19,0,1.6,1.3,1.1,0,1.6
39813,19,5,1.7,1.2,1.2,0,1.6
126091,20,3,1,1.5,1.8,0,1.6
139685,26,1,1.6,1.1,1.6,0,1.6
161449,20,1,1.6,1.4,1.3,0,1.6
43178,18,4,1.3,1.5,1.5,0,1.6
50359,29,2,1.8,1.9,1,0,1.6
121797,18,0,1.4,1.9,1.4,0,1.6
118755,19,0,1.2,1.3,1.6,0,1.6
150507,17,0,1.4,1.7,1.2,0,1.6
116213,19,4,1.2,1.4,1.8,0,1.6
75869,16,1,1.5,1.4,1.2,0,1.61
75890,16,1,1.4,1.4,1.5,0,1.63
112466,18,0,1.8,1.1,1.3,0,1.65
77407,16,0,1.6,1.2,1.4,0,1.65
117162,18,0,1.7,1.2,1.5,0,1.65
85201,18,0,1.5,1.1,1.6,0,1.65
171794,34,0,1.3,1.9,1.1,0,1.66
112705,17,1,1.5,1.5,1.6,0,1.66
108399,16,0,1.3,1,1.4,0,1.67
26955,19,4,1.8,1.5,1,0,1.68
120477,16,0,1.3,1.2,1.4,0,1.68
54465,19,1,1.1,1.7,1.7,0,1.68
171203,34,0,1.6,1.5,1.1,0,1.68
76754,25,2,1.7,1.2,1.8,0,1.68
101616,18,0,1.5,1.4,1.6,0,1.68
117019,18,0,1.9,1.3,1,0,1.69
42251,19,5,1.3,1.3,1.7,0,1.7
130327,13,0,1,1.3,1,0,1.7
130620,13,2,1.4,1.4,1,0,1.7
112446,16,1,1,1.3,1.7,0,1.7
108356,16,0,1,1.6,1,0,1.7
131913,29,1,1.1,1,1.8,0,1.7
100215,32,1,1.2,1.6,1.9,0,1.7
74141,19,0,1.7,1.1,1.4,0,1.7
110292,16,0,1,1.6,1.5,0,1.7
96487,18,1,1.4,1.2,1.3,0,1.7
151285,13,0,1.5,1,1.1,0,1.7
98591,18,0,1.6,1.4,1.6,0,1.71
177006,25,0,1,1.9,1.2,0,1.71
118341,16,0,1.2,1.4,1,0,1.75
118390,16,0,1.5,1.6,1.5,0,1.75
118657,16,0,1.2,1.4,1.1,0,1.75
175908,38,0,1,1.6,1.3,0,1.77
174695,38,0,1.6,1.1,1.1,0,1.77
175852,38,0,1.3,1.6,1.4,0,1.77
101168,16,0,1.1,1.7,1.6,0,1.78
177740,38,0,1,1,1.3,0,1.78
75652,16,0,1.7,1.5,1.4,0,1.78
75822,16,1,1,1.8,1.8,0,1.79
107577,16,0,1.5,1.2,1.6,0,1.79
75734,16,1,1.8,1.3,1.2,0,1.79
118533,19,0,1.9,1.1,1.3,0,1.8
177670,35,0,1,1.8,1.7,0,1.8
113671,16,0,1.1,1.6,1.3,0,1.8
164362,14,0,1.1,1.6,1,0,1.8
75275,17,0,1.6,1.6,1.1,0,1.8
173331,13,0,1.4,1.6,1.3,0,1.8
104219,16,1,1.4,1.1,1.7,0,1.8
173340,17,0,1.4,1.8,1.6,0,1.8
149539,20,1,1,1.8,1.6,0,1.8
89144,16,0,1,1.2,1,0,1.8
125752,37,0,1.1,1.6,1.4,0,1.8
96057,16,0,1,1.4,1.5,0,1.8
129090,16,0,1.3,1.4,1.2,0,1.8
73801,13,0,1.6,1.4,1,0,1.8
