id,代数,次数,三维1,三维2,三维3,重量,价格
2256,14,2,1.92,1.1,1.2,6.56,14.88
2258,17,0,2.05,1,1.8,7.52,40
2286,22,1,1,1,1.1,0,88.88
2294,17,0,1.82,1.85,1.85,37.13,50
2295,21,0,1,1.9,1.42,1.23,6.66
2297,4,6,1.12,1.75,1.95,28.52,240
2306,3,12,1.82,2.29,1.92,60.43,1529
2307,20,2,1.7,1.2,1.2,0,28.88
2311,12,1,1.85,1.85,1.85,71.7,888.88
2313,8,4,1.3,1.75,2.37,45.41,300
2317,25,1,1.9,1.5,1.2,0,15
2322,3,13,2.04,1.87,2.04,61.92,2200
2332,7,10,1.5,1.1,1.3,0,50
2335,2,13,2.19,1.62,2.07,55.9,1600
2338,11,0,1.97,2.15,1.97,60.4,188
2344,1,14,1.87,1.12,2.15,61.01,4999
2358,12,1,2.04,1.12,1.87,75.38,149
2362,25,1,1.8,1,1.62,8.05,10
2373,8,9,1.1,1.42,1.1,7.91,69.66
2377,2,13,1.77,2.52,1.75,70.26,1399
2378,10,3,1.6,1.5,1.42,1.98,20
2388,7,6,2.17,1.82,1.72,49.69,300
2415,6,8,2.11,1.17,1.17,53.04,255
2420,8,3,1.2,1.7,1.72,33.74,80
2422,17,0,1.1,1.7,1,0,7
2431,4,1,1.27,1.79,1.72,24.48,699
2437,21,0,1.9,1.5,1.3,0,10
2443,4,10,1.74,1.97,1.74,41.18,349
2451,24,0,1.5,1.3,1.7,0,10
2454,11,7,1.3,1.2,2.32,23.97,26.99
2465,4,4,2.37,2.2,2.2,56.84,1288
2475,16,0,1.6,2.05,2.25,32.36,39
2482,26,2,1.9,1.92,1.92,51.7,300
2486,23,1,2.3,2.3,2.27,42.03,50
2493,2,11,1.17,2.12,2.12,24.97,1800
2496,2,14,1.85,2.27,1.25,64.26,1497
2502,3,12,1.93,1.98,2.3,87.47,1983
2503,4,6,2.38,1.2,2.2,58.45,800
2506,2,14,2.55,2.58,1.38,60.93,828
2511,7,3,1.93,1.1,2.65,26.27,150
2513,26,2,1.53,1.63,1.4,10,12
2514,17,0,1.6,1.4,1.4,3.6,10
2516,8,2,2.13,2.25,1.98,49.45,399
2522,16,2,1.8,1.9,1,0,25
2531,12,1,1.5,1.2,1.2,0,3
2547,6,10,1.55,1.88,1.1,32.7,60
2570,2,14,1.68,2.13,2.13,68.8,1999
2582,17,0,1.9,1.4,1.5,0,20
2589,19,0,1.5,1.3,1.5,0,20
2593,3,12,1.48,1.53,2,48.53,699
2594,12,4,1.2,1.7,1.3,5.42,3
2603,16,4,1.2,1.7,1.6,0,1.9
2604,5,11,1.86,1.9,1.88,50.52,388.88
2608,9,1,1.2,1.4,1.83,23.16,200
2628,15,0,1.9,1.5,1.5,0,88.88
2633,4,12,2.91,1.83,1.88,100.5,2000
2636,19,0,1.7,1.6,1.6,7.25,25
2642,9,2,2.18,1.58,2.13,30.86,138
2652,5,8,2.11,2.11,2.11,54.93,2000
2662,20,1,1.73,1.3,1.3,8.16,8.8
2663,16,0,1.53,1.3,1.9,31.96,50
2671,10,1,1.9,1.8,1.6,5.32,28
2678,10,3,1.6,1.2,1.3,0,25
2679,15,4,1.3,1.9,1.9,6.24,160
2682,13,0,1.8,1.43,1.43,8.17,25
2686,28,0,1.1,1.7,1.2,0.3,15
2696,4,3,2.36,2.36,1.36,59.66,586.68
2704,19,2,1.63,1.6,1.8,11.01,35
2711,21,0,1.6,1,1.9,0.43,600
2730,17,1,1.2,1.1,1.5,0,10
2733,10,3,1.98,1.68,1.68,31.96,56
2737,4,12,2.05,1.96,2.22,71.32,999.99
2740,17,0,2.35,1.53,2.13,25.74,88
2748,2,13,1.5,1.53,2.08,53.62,888
2751,18,0,1.96,1,1.7,22.32,50
2753,12,3,1.1,1.5,1.2,0,9
2757,19,0,1.56,1.53,1.7,2.64,10
2770,2,14,1.94,1.37,2.14,54.58,1200
2776,5,3,1.71,1.87,2.64,43.89,325
2779,10,0,1.13,1.5,1.03,2.06,18
2780,24,2,1.83,1.66,2.03,24.31,28
2781,16,1,1.43,1.5,1.96,25.13,36
2792,22,0,1.1,1,1,6.11,7
2794,8,2,1.34,2.18,1.96,27.91,400
2803,2,13,1.68,1.31,1.31,67.73,1055
2807,10,0,1.56,1.68,1.97,32.78,166
2809,13,0,1.2,1.5,1.9,0,3.8
2814,18,1,1.3,1.7,1,2.4,6
2826,19,0,1.9,1.2,1.2,8.14,25
2827,18,1,1.83,1.23,1.23,0.52,4.5
2829,6,9,1.85,1.3,2.3,45.68,222.22
2837,16,0,1.9,1,1.4,0,10
2839,8,8,2.06,1.29,1.93,44.54,200
2859,1,13,1.94,1.53,2.74,55.72,5699
2868,15,0,1.5,1.5,1.2,6.86,88.88
2880,2,11,2.66,1.84,1.67,89.18,2888
2884,22,0,1.9,1.4,1,0,10
2887,29,0,1.9,1.43,1.7,16.3,20
2893,13,1,2.09,2.7,1.7,52.62,58
2896,18,0,1.6,1.4,1.7,6.86,30
2898,13,0,1.4,1.8,1.6,8.62,120
2900,1,14,1.54,2.25,2.25,49.58,7999
2906,4,12,2.99,1.97,2.99,89.7,1488
2910,4,12,2.06,1.45,1.73,70.34,740
2915,30,3,1.97,1.3,1.76,17.76,15
2917,5,9,1.59,1.36,1.86,34.46,198
2926,4,10,2.19,2.19,2.22,77.71,1500
2930,13,0,1.5,1.6,1.1,0,5
2935,10,4,1.1,1.5,1.3,5.05,13
2938,9,1,1.83,2.33,1.8,52.73,400
2954,8,1,2.13,1.73,1.5,18.29,100
2973,8,0,1.3,1.1,1.5,0,120
2981,20,1,1.03,2.06,1.53,7.81,6.66
2986,4,4,2.06,2.06,1.53,70.4,800
2988,14,1,1.73,1.9,1.2,2.59,88.88
